"",beta,delta,alpha,gamma,immune,stellate,endothelial,ductal,acinar
Gata4,0.101628414138222,0.342260093341467,0.980769864078501,0.869313887917511,0.428753738379216,0,0.348561764263405,1,0.963097403982557
Gata1,0.0176542786370019,0.250672986277747,1,0.861749693822271,0.440714113731434,0,0.330223588781562,0.987545511948309,0.913077926441545
STAT3,0,0.0191226295982081,0.487932945946062,0.684793719154478,0.508928671044079,1,0.55643561863122,0.78818760579704,0.875362169322116
STAT1,0,0.090006281449187,0.31412220765554,0.573087722572091,0.493766837120744,0.913337225065179,0.784900725107346,0.670171866223444,1
Stat4,0,0.0340854013010577,0.339694907136783,0.51446826490783,0.486853653604537,0.753708616672035,0.799774660001449,0.668907087832844,1
ELF4,0,0.238206135438265,0.233996331457906,0.383397218873822,0.519583895234743,0.531701106846022,1,0.688408407453973,0.713431108909239
ELF1,0,0.205965222278047,0.228930308657133,0.336349248818156,0.399570650100796,0.553277975932031,1,0.632175943545485,0.670629399769448
ELF5,0,0.397721725360503,0.342054607129727,0.585703579947851,0.661285535180232,0.360818940380286,0.958571193835698,1,0.896283207633119
ELF3,0,0.351200515258358,0.330897560990784,0.515106281548602,0.588625400660139,0.428215667686055,1,0.980013396916392,0.888428098891042
EHF,0,0.33310699255755,0.322286176219036,0.525697788107956,0.594153284959369,0.446236455085443,1,0.952242500392469,0.895589589953895
IRF8,0,0.452918957438445,0.509335618522142,0.924556649114736,1,0.66901372414899,0.508688415497547,0.712383594110563,0.924606221071554
IRF4,0,0.499090150456263,0.474553749980649,0.73709196532443,1,0.599481695320035,0.377700680258382,0.682792266837745,0.936294451768003
SPI1,0,0.145277410202136,0.0741062377702564,0.25919496407051,1,0.240660392724962,0.670175427080572,0.426209731853438,0.346475725195866
SPIC,0,0.274717608845614,0.129353916359205,0.429542307233556,1,0.480226214744404,0.976624282152921,0.626950096315839,0.513465195392482
